Author,Title,Price,Amount
Agatha Christie,Murder on the Orient Express,R207.0,57
Arthur Conan Doyle,The Hound of the Baskervilles,R312.35,94
Gillian Flynn,Gone Girl,R343.02,85
Tana French,In the Woods,R233.39,58
Ruth Ware,The Woman in Cabin 10,R216.4,66
Louise Penny,Still Life,R303.13,59
Dan Brown,The Da Vinci Code,R241.57,86
Robert Galbraith,The Cuckoo's Calling,R268.62,86
Paula Hawkins,The Girl on the Train,R238.04,97
Stieg Larsson,The Girl with the Dragon Tattoo,R297.75,89
S.J. Watson,Before I Go to Sleep,R336.79,77
Kate Atkinson,Case Histories,R280.71,62
P.D. James,Cover Her Face,R239.82,96
Elizabeth George,A Great Deliverance,R318.29,99
Ngaio Marsh,A Man Lay Dead,R342.37,68
Dorothy L. Sayers,Whose Body?,R345.17,60
Colin Dexter,Last Bus to Woodstock,R235.5,92
Jacqueline Winspear,Maisie Dobbs,R310.13,61
Josephine Tey,The Daughter of Time,R291.44,71
Camilla Läckberg,The Ice Princess,R235.44,97
