Author,Title,Price,Amount
Isaac Asimov,Foundation,R202.92,82
Philip K. Dick,Do Androids Dream of Electric Sheep?,R324.85,53
Frank Herbert,Dune,R328.19,58
Orson Scott Card,Ender's Game,R316.72,56
Arthur C. Clarke,2001: A Space Odyssey,R286.49,95
Ray Bradbury,Fahrenheit 451,R214.35,70
William Gibson,Neuromancer,R316.97,88
Ursula K. Le Guin,The Left Hand of Darkness,R225.1,89
Robert A. Heinlein,Stranger in a Strange Land,R313.09,57
Joe Haldeman,The Forever War,R310.11,79
Aldous Huxley,Brave New World,R252.46,73
Douglas Adams,The Hitchhiker’s Guide to the Galaxy,R349.2,74
Ann Leckie,Ancillary Justice,R275.2,60
Liu Cixin,The Three-Body Problem,R264.58,81
Neal Stephenson,Snow Crash,R275.66,55
Octavia Butler,Kindred,R288.6,67
Andy Weir,The Martian,R298.95,77
Becky Chambers,"The Long Way to a Small, Angry Planet",R277.74,61
John Scalzi,Old Man's War,R205.47,70
Brandon Sanderson,Skyward,R301.01,73
