Author,Title,Price,Amount
Lee Child,Killing Floor,R270.43,94
John Grisham,The Firm,R324.06,56
Stephen King,Misery,R218.13,60
Robert Ludlum,The Bourne Identity,R227.87,100
Thomas Harris,The Silence of the Lambs,R254.14,87
Dan Brown,Angels & Demons,R266.78,53
Paula Hawkins,Into the Water,R202.66,76
Gillian Flynn,Dark Places,R238.01,81
James Patterson,Along Came a Spider,R260.28,82
David Baldacci,Absolute Power,R349.81,61
Michael Connelly,The Poet,R308.74,56
Dean Koontz,Watchers,R264.9,100
Patricia Highsmith,Strangers on a Train,R233.04,76
Dennis Lehane,Shutter Island,R297.67,63
Tess Gerritsen,The Surgeon,R253.0,62
Jeffery Deaver,The Bone Collector,R236.01,98
Brad Thor,The Lions of Lucerne,R291.31,58
Steve Berry,The Amber Room,R214.81,90
Mark Greaney,The Gray Man,R231.95,56
Joseph Finder,Paranoia,R256.67,65
